사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2019-01,1호선,0150,서울역,1516452,1400464,221180,211764
2019-01,1호선,0151,시청,676932,676266,102388,101033
2019-01,1호선,0152,종각,1240810,1177643,162410,152062
2019-01,1호선,0153,종로3가,703110,674148,387062,362735
2019-01,1호선,0154,종로5가,571824,583955,275447,263687
2019-01,1호선,0155,동대문,308301,342898,134071,138633
2019-01,1호선,0156,신설동,360561,353834,126466,120147
2019-01,1호선,0157,제기동,293540,288217,374571,400607
2019-01,1호선,0158,청량리(서울시립대입구),463456,482960,352121,357571
2019-01,1호선,0159,동묘앞,174683,188711,146034,147551
2019-01,2호선,0201,시청,706097,679503,61058,55387
2019-01,2호선,0202,을지로입구,1415414,1414980,120425,111592
2019-01,2호선,0203,을지로3가,608979,601323,91668,91016
2019-01,2호선,0204,을지로4가,278663,281834,98689,94261
2019-01,2호선,0205,동대문역사문화공원,470548,540467,58918,62861
2019-01,2호선,0206,신당,350840,370121,105001,106934
2019-01,2호선,0207,상왕십리,370292,352021,70677,71280
2019-01,2호선,0208,왕십리(성동구청),525543,439506,61311,52124
2019-01,2호선,0209,한양대,233785,256079,15380,16652
2019-01,2호선,0210,뚝섬,474396,505844,62356,63026
2019-01,2호선,0211,성수,767696,836948,109790,111635
2019-01,2호선,0212,건대입구,1238362,1367192,96044,100954
2019-01,2호선,0213,구의(광진구청),640208,617578,110505,111865
2019-01,2호선,0214,강변(동서울터미널),1234132,1210954,143139,137791
2019-01,2호선,0215,잠실나루,419874,401622,93395,93825
2019-01,2호선,0216,잠실(송파구청),2416810,2311873,209079,198791
2019-01,2호선,0217,잠실새내,653006,666914,115042,113965
2019-01,2호선,0218,종합운동장,249732,274799,46155,48143
2019-01,2호선,0219,삼성(무역센터),1708765,1751738,130382,122279
2019-01,2호선,0220,선릉,1512507,1330307,231177,202344
2019-01,2호선,0221,역삼,1381548,1529313,170313,171825
2019-01,2호선,0222,강남,3153418,3210437,186486,167666
2019-01,2호선,0223,교대(법원.검찰청),946530,1067419,169873,189952
2019-01,2호선,0224,서초,610589,616036,85793,86672
2019-01,2호선,0225,방배,484175,495686,82941,81796
2019-01,2호선,0226,사당,1114495,1281460,211281,198971
2019-01,2호선,0227,낙성대,795786,764958,116511,117808
2019-01,2호선,0228,서울대입구(관악구청),1424677,1391043,211560,201922
2019-01,2호선,0229,봉천,605635,552653,156696,157860
2019-01,2호선,0230,신림,1928249,1883865,249174,254427
2019-01,2호선,0231,신대방,741010,699826,129858,131180
2019-01,2호선,0232,구로디지털단지,1790096,1784632,182537,185035
2019-01,2호선,0233,대림(구로구청),765065,788044,117840,122048
2019-01,2호선,0234,신도림,1601042,1580905,215960,204974
2019-01,2호선,0235,문래,533563,541539,86593,85835
2019-01,2호선,0236,영등포구청,569540,578864,107339,105413
2019-01,2호선,0237,당산,593074,651170,67769,73323
2019-01,2호선,0238,합정,963554,1037217,73350,73712
2019-01,2호선,0239,홍대입구,2351935,2507561,114832,111488
2019-01,2호선,0240,신촌,1293198,1324547,146482,143369
2019-01,2호선,0241,이대,476235,498130,56990,57268
2019-01,2호선,0242,아현,249121,237525,65983,65834
2019-01,2호선,0243,충정로(경기대입구),283094,302304,52048,51604
2019-01,2호선,0244,용답,62637,62609,17274,17125
2019-01,2호선,0245,신답,38031,42538,10674,11506
2019-01,2호선,0246,신설동,100784,96388,39618,41247
2019-01,2호선,0247,도림천,28512,30572,6495,7268
2019-01,2호선,0248,양천구청,164311,174273,45637,46805
2019-01,2호선,0249,신정네거리,224687,231648,67361,68036
2019-01,2호선,0250,용두(동대문구청),48254,49405,25872,27089
2019-01,3호선,0309,지축,23573,25825,8828,11700
2019-01,3호선,0310,구파발,514949,475587,102695,95809
2019-01,3호선,0311,연신내,998373,946477,275949,268661
2019-01,3호선,0312,불광,420524,457410,151438,166749
2019-01,3호선,0313,녹번,339600,289711,67841,65985
2019-01,3호선,0314,홍제,423880,395539,152183,151005
2019-01,3호선,0315,무악재,87734,87462,30692,32301
2019-01,3호선,0316,독립문,162939,169496,75288,74780
2019-01,3호선,0317,경복궁(정부서울청사),632058,647453,91432,84303
2019-01,3호선,0318,안국,602643,623450,91847,96600
2019-01,3호선,0319,종로3가,285401,386960,66004,74526
2019-01,3호선,0320,을지로3가,267923,291747,63164,61895
2019-01,3호선,0321,충무로,55,0,2,0
2019-01,3호선,0322,동대입구,273760,299610,35986,38633
2019-01,3호선,0323,약수,347979,337106,88077,84353
2019-01,3호선,0324,금호,207393,189021,57696,56729
2019-01,3호선,0325,옥수,237529,247315,59129,59822
2019-01,3호선,0326,압구정,900459,993949,150205,148455
2019-01,3호선,0327,신사,969740,1044254,76590,73692
2019-01,3호선,0328,잠원,154384,148266,37920,37127
2019-01,3호선,0329,고속터미널,1672593,1594038,192170,182793
2019-01,3호선,0330,교대(법원.검찰청),375604,249984,73887,45715
2019-01,3호선,0331,남부터미널(예술의전당),964159,987210,128393,128863
2019-01,3호선,0332,양재(서초구청),1082067,1167403,170638,171222
2019-01,3호선,0333,매봉,293172,281731,60062,55114
2019-01,3호선,0334,도곡,145454,148508,28466,24665
2019-01,3호선,0335,대치,328634,313771,63912,61647
2019-01,3호선,0336,학여울,58420,59233,18531,17919
2019-01,3호선,0337,대청,243544,217014,54187,52060
2019-01,3호선,0338,일원,229657,234627,64134,64834
2019-01,3호선,0339,수서,455919,453416,104207,101676
2019-01,3호선,0340,가락시장,234180,226833,78795,77067
2019-01,3호선,0341,경찰병원,198576,197570,43877,44845
2019-01,3호선,0342,오금,178619,158041,29523,27548
2019-01,4호선,0409,당고개,290085,266616,93657,92102
2019-01,4호선,0410,상계,516628,457332,117224,115582
2019-01,4호선,0411,노원,578020,669142,94962,93019
2019-01,4호선,0412,창동,674935,718930,202889,209219
2019-01,4호선,0413,쌍문,831100,723822,172066,167596
2019-01,4호선,0414,수유(강북구청),945148,934275,214439,213726
2019-01,4호선,0415,미아(서울사이버대학),382942,349712,122691,121209
2019-01,4호선,0416,미아사거리,707702,686868,185575,183967
2019-01,4호선,0417,길음,547211,514959,125391,126604
2019-01,4호선,0418,성신여대입구(돈암),609703,581600,93628,93054
2019-01,4호선,0419,한성대입구(삼선교),375205,359881,77755,77186
2019-01,4호선,0420,혜화,1128434,1169583,139638,137908
2019-01,4호선,0421,동대문,591297,606127,150149,140211
2019-01,4호선,0422,동대문역사문화공원,604325,545170,63849,57652
2019-01,4호선,0423,충무로,778649,804659,129893,131057
2019-01,4호선,0424,명동,1013193,1090078,74354,76387
2019-01,4호선,0425,회현(남대문시장),705485,758424,198383,197336
2019-01,4호선,0426,서울역,367040,634814,42165,53241
2019-01,4호선,0427,숙대입구(갈월),408452,402270,58246,54196
2019-01,4호선,0428,삼각지,123852,147453,28013,29833
2019-01,4호선,0429,신용산,449542,469059,52330,52195
2019-01,4호선,0430,이촌(국립중앙박물관),240562,263802,48131,51639
2019-01,4호선,0431,동작(현충원),48849,52497,18799,19144
2019-01,4호선,0432,총신대입구(이수),505634,569524,154374,161734
2019-01,4호선,0433,사당,797948,668979,96377,98957
2019-01,4호선,0434,남태령,38898,27113,8469,7607
2019-01,경부선,1001,서울역,178223,29980,10325,1612
2019-01,경부선,1002,남영,277702,292630,39574,41277
2019-01,경부선,1003,용산,1117965,1137861,130281,129064
2019-01,경부선,1004,노량진,354067,325632,46863,43876
2019-01,경부선,1005,대방,375785,377701,71034,70986
2019-01,경부선,1006,영등포,1227641,1292898,291705,289797
2019-01,경부선,1007,신도림,93312,95198,21308,24436
2019-01,경부선,1032,신길,252784,206136,46402,42844
2019-01,경부선,1701,구로,530917,553635,98540,95357
2019-01,경부선,1702,가산디지털단지,470248,552752,31014,33827
2019-01,경부선,1703,금천구청,279888,268537,79353,80253
2019-01,경부선,1704,석수,287434,251734,48593,46324
2019-01,경부선,1705,관악,199191,185653,55505,54374
2019-01,경부선,1706,안양,628613,618670,119887,121870
2019-01,경부선,1707,명학,241180,240142,43655,43885
2019-01,경부선,1708,금정,707795,712943,109113,110210
2019-01,경부선,1709,군포,188981,185580,34841,33522
2019-01,경부선,1710,의왕,227093,220280,38975,39248
2019-01,경부선,1711,성균관대,409799,397352,54424,54532
2019-01,경부선,1712,화서,206201,198549,42502,42475
